adkindo01,Doc,Adkins,Doc Adkins,1902-06-24,1903-09-29,P,Boston Red Sox:BOS-New York Yankees:NYY,1872
adkingr01,Grady,Adkins,Grady Adkins,1928-04-13,1929-10-05,P,Chicago White Sox:CHW,1897
adkinhe01,Harry,Atkinson,Harry Atkinson,1895-09-25,1895-09-25,OF,St. Louis Cardinals:STL,1874
adkinjo01,Jon,Adkins,Jon Adkins,2003-08-14,2008-09-27,P,Chicago White Sox:CHW-San Diego Padres:SDP-New York Mets:NYM-Cincinnati Reds:CIN,1977
adkinst01,Steve,Adkins,Steve Adkins,1990-09-12,1990-10-03,P,New York Yankees:NYY,1964
adlemti01,Tim,Adleman,Tim Adleman,2016-05-01,2016-10-01,P,Cincinnati Reds:CIN,1987
adlesda01,Dave,Adlesh,Dave Adlesh,1963-05-12,1968-09-28,C,Houston Astros:HOU,1943
adriaeh01,Ehire,Adrianza,Ehire Adrianza,2013-09-08,2016-09-27,SS-2B-3B-1B,San Francisco Giants:SFG,1989
afenitr01,Troy,Afenir,Troy Afenir,1987-09-14,1992-07-10,C,Houston Astros:HOU-Oakland Athletics:OAK-Cincinnati Reds:CIN,1963
affelje01,Jeremy,Affeldt,Jeremy Affeldt,2002-04-06,2015-10-04,P,Kansas City Royals:KCR-Colorado Rockies:COL-Cincinnati Reds:CIN-San Francisco Giants:SFG,1979
agbaybe01,Benny,Agbayani,Benny Agbayani,1998-06-17,2002-09-29,OF,New York Mets:NYM-Colorado Rockies:COL-Boston Red Sox:BOS,1971
ageeto01,Tommie,Agee,Tommie Agee,1962-09-14,1973-09-30,OF,Cleveland Indians:CLE-Chicago White Sox:CHW-New York Mets:NYM-Houston Astros:HOU-St. Louis Cardinals:STL,1942
agganha01,Harry,Agganis,Harry Agganis,1954-04-13,1955-06-02,1B,Boston Red Sox:BOS,1929
aglerjo01,Joe,Agler,Joe Agler,1912-10-01,1915-10-02,1B-OF-2B,Washington Senators:WSH-Buffalo Blues:BUF-Baltimore Terrapins:BAL,1887
agnewsa01,Sam,Agnew,Sam Agnew,1913-04-10,1919-09-28,C,St. Louis Browns:SLB-Boston Red Sox:BOS-Washington Senators:WSH,1887
agostju01,Juan,Agosto,Juan Agosto,1981-09-07,1993-06-19,P,Chicago White Sox:CHW-Minnesota Twins:MIN-Houston Astros:HOU-St. Louis Cardinals:STL-Seattle Mariners:SEA,1958
aguaylu01,Luis,Aguayo,Luis Aguayo,1980-04-19,1989-09-30,2B-SS-3B,Philadelphia Phillies:PHI-New York Yankees:NYY-Cleveland Indians:CLE,1959
aguilch01,Chris,Aguila,Chris Aguila,2004-06-28,2008-07-10,OF,Florida Marlins:FLA-New York Mets:NYM,1979
aguilje01,Jesus,Aguilar,Jesus Aguilar,2014-05-15,2016-10-01,1B-3B,Cleveland Indians:CLE,1990
aguilri01,Rick,Aguilera,Rick Aguilera,1985-06-12,2000-09-06,P,New York Mets:NYM-Minnesota Twins:MIN-Boston Red Sox:BOS-Chicago Cubs:CHC,1961
aguirha01,Hank,Aguirre,Hank Aguirre,1955-09-10,1970-06-24,P,Cleveland Indians:CLE-Detroit Tigers:DET-Los Angeles Dodgers:LAD-Chicago Cubs:CHC,1931
ahearch01,Bill,Ahearn,Bill Ahearn,1880-06-19,1880-06-19,C,Troy Trojans:TRO,1858
ahearpa01,Pat,Ahearne,Pat Ahearne,1995-06-14,1995-06-30,P,Detroit Tigers:DET,1969
ahmedni01,Nick,Ahmed,Nick Ahmed,2014-06-29,2016-07-22,2B-SS,Arizona Diamondbacks:ARI,1990
aikenwi01,Willie,Aikens,Willie Aikens,1977-05-17,1985-04-27,1B,California Angels:CAL-Kansas City Royals:KCR-Toronto Blue Jays:TOR,1954
aingeda01,Danny,Ainge,Danny Ainge,1979-05-21,1981-09-22,2B-3B-OF-SS,Toronto Blue Jays:TOR,1959
ainsmed01,Eddie,Ainsmith,Eddie Ainsmith,1910-08-09,1924-07-21,C-P-1B,Washington Senators:WSH-Detroit Tigers:DET-St. Louis Cardinals:STL-Brooklyn Dodgers:BRO-New York Giants:NYG,1890
ainswku01,Kurt,Ainsworth,Kurt Ainsworth,2001-09-05,2004-05-14,P,San Francisco Giants:SFG-Baltimore Orioles:BAL,1978
aitchra01,Raleigh,Aitchison,Raleigh Aitchison,1911-04-19,1915-06-20,P,Brooklyn Dodgers:BRO,1887
aitonge01,George,Aiton,George Aiton,1912-06-29,1912-07-28,OF,St. Louis Browns:SLB,1890
akejo01,John,Ake,John Ake,1884-05-12,1884-07-15,3B-OF-SS,Baltimore Orioles:BAL,1861
akerfda01,Darrel,Akerfelds,Darrel Akerfelds,1986-08-01,1991-07-02,P,Oakland Athletics:OAK-Cleveland Indians:CLE-Texas Rangers:TEX-Philadelphia Phillies:PHI,1962
akerja01,Jack,Aker,Jack Aker,1964-05-03,1974-09-27,P,Kansas City Athletics:KCA-Oakland Athletics:OAK-Seattle Pilots:SEP-New York Yankees:NYY-Chicago Cubs:CHC-Atlanta Braves:ATL-New York Mets:NYM,1940
akersbi01,Bill,Akers,Bill Akers,1929-09-08,1932-07-27,SS-3B-2B,Detroit Tigers:DET-Boston Braves:BSN,1904
akersje01,Jerry,Akers,Jerry Akers,1912-05-04,1912-05-25,P,Washington Senators:WSH,1887
albagi01,Gibson,Alba,Gibson Alba,1988-05-03,1988-05-08,P,St. Louis Cardinals:STL,1960
albaljo01,Jonathan,Albaladejo,Jonathan Albaladejo,2007-09-05,2012-07-20,P,Washington Nationals:WSN-New York Yankees:NYY-Arizona Diamondbacks:ARI,1982
albanjo01,Joe,Albanese,Joe Albanese,1958-07-18,1958-09-09,P,Washington Senators:WSH,1933
alberan01,Andrew,Albers,Andrew Albers,2013-08-06,2016-09-23,P,Minnesota Twins:MIN-Toronto Blue Jays:TOR,1985
albercy01,Cy,Alberts,Cy Alberts,1910-09-17,1910-10-12,P,St. Louis Cardinals:STL,1882
albergu01,Gus,Alberts,Gus Alberts,1884-05-01,1891-09-22,SS-3B,Pittsburg Alleghenys:PIT-Washington Nationals:WHS-Cleveland Blues:CLE-Milwaukee Brewers:MIL,1860
alberha01,Hanser,Alberto,Hanser Alberto,2015-05-29,2016-10-02,2B-3B-SS-1B,Texas Rangers:TEX,1992
alberjo01,Jose,Alberro,Jose Alberro,1995-04-27,1997-08-05,P,Texas Rangers:TEX,1969
alberma01,Matt,Albers,Matt Albers,2006-07-25,2016-09-27,P,Houston Astros:HOU-Baltimore Orioles:BAL-Boston Red Sox:BOS-Arizona Diamondbacks:ARI-Cleveland Indians:CLE-Chicago White Sox:CHW,1983
albosed01,Ed,Albosta,Ed Albosta,1941-09-03,1946-09-24,P,Brooklyn Dodgers:BRO-Pittsburgh Pirates:PIT,1918
albreed01,Ed,Albrecht,Ed Albrecht,1949-10-02,1950-04-26,P,St. Louis Browns:SLB,1929
albrija01,Jack,Albright,Jack Albright,1947-05-19,1947-07-27,SS,Philadelphia Phillies:PHI,1921
albural01,Al,Alburquerque,Al Alburquerque,2011-04-15,2016-06-15,P,Detroit Tigers:DET-Los Angeles Angels of Anaheim:LAA,1986
alburvi01,Vic,Albury,Vic Albury,1973-08-07,1976-09-26,P,Minnesota Twins:MIN,1947
alcalsa01,Santo,Alcala,Santo Alcala,1976-04-10,1977-09-25,P,Cincinnati Reds:CIN-Montreal Expos:MON,1952
alcanar01,Arismendy,Alcantara,Arismendy Alcantara,2014-07-09,2016-09-21,2B-OF-3B-SS,Chicago Cubs:CHC-Oakland Athletics:OAK,1991
alcanis01,Israel,Alcantara,Israel Alcantara,2000-06-25,2002-08-22,1B-OF,Boston Red Sox:BOS-Milwaukee Brewers:MIL,1973
alcanra01,Raul,Alcantara,Raul Alcantara,2016-09-05,2016-09-30,P,Oakland Athletics:OAK,1992
alcarlu01,Luis,Alcaraz,Luis Alcaraz,1967-09-13,1970-06-07,2B-3B-SS,Los Angeles Dodgers:LAD-Kansas City Royals:KCR,1941
alcocsc01,Scotty,Alcock,Scotty Alcock,1914-04-19,1914-08-02,2B-3B,Chicago White Sox:CHW,1885
alderda01,Dale,Alderson,Dale Alderson,1943-09-18,1944-07-05,P,Chicago Cubs:CHC,1918
aldremi01,Mike,Aldrete,Mike Aldrete,1986-05-28,1996-09-29,1B-OF-P,San Francisco Giants:SFG-Montreal Expos:MON-San Diego Padres:SDP-Cleveland Indians:CLE-Oakland Athletics:OAK-California Angels:CAL-New York Yankees:NYY,1961
aldresc01,Scott,Aldred,Scott Aldred,1990-09-09,2000-05-29,P,Detroit Tigers:DET-Colorado Rockies:COL-Montreal Expos:MON-Minnesota Twins:MIN-Tampa Bay Rays:TBR-Philadelphia Phillies:PHI,1968
aldrico01,Cory,Aldridge,Cory Aldridge,2001-09-05,2010-07-11,OF,Atlanta Braves:ATL-Los Angeles Angels of Anaheim:LAA,1979
aldrija01,Jay,Aldrich,Jay Aldrich,1987-06-05,1990-04-26,P,Milwaukee Brewers:MIL-Atlanta Braves:ATL-Baltimore Orioles:BAL,1961
aldrivi01,Vic,Aldridge,Vic Aldridge,1917-04-15,1928-08-29,P,Chicago Cubs:CHC-Pittsburgh Pirates:PIT-New York Giants:NYG,1893
alenoch01,Chuck,Aleno,Chuck Aleno,1941-05-15,1944-09-23,1B-3B-2B-OF-SS,Cincinnati Reds:CIN,1917
alexabo01,Bob,Alexander,Bob Alexander,1955-04-11,1957-09-22,P,Baltimore Orioles:BAL-Cleveland Indians:CLE,1922
alexada01,Dale,Alexander,Dale Alexander,1929-04-16,1933-09-23,1B-OF,Detroit Tigers:DET-Boston Red Sox:BOS,1903
alexado01,Doyle,Alexander,Doyle Alexander,1971-06-26,1989-09-27,P,Los Angeles Dodgers:LAD-Baltimore Orioles:BAL-New York Yankees:NYY-Texas Rangers:TEX-Atlanta Braves:ATL-San Francisco Giants:SFG-Toronto Blue Jays:TOR-Detroit Tigers:DET,1950
alexaga01,Gary,Alexander,Gary Alexander,1975-09-12,1981-09-28,C-OF-1B,San Francisco Giants:SFG-Oakland Athletics:OAK-Cleveland Indians:CLE-Pittsburgh Pirates:PIT,1953
alexage01,Gerald,Alexander,Gerald Alexander,1990-09-09,1992-06-30,P,Texas Rangers:TEX,1968
alexahu01,Hugh,Alexander,Hugh Alexander,1937-08-15,1937-09-22,OF,Cleveland Indians:CLE,1917
alexama01,Matt,Alexander,Matt Alexander,1973-08-23,1981-10-03,OF-2B-3B-SS,Chicago Cubs:CHC-Oakland Athletics:OAK-Pittsburgh Pirates:PIT,1947
alexama02,Manny,Alexander,Manny Alexander,1992-09-18,2006-09-28,SS-2B-3B-OF-P-1B,Baltimore Orioles:BAL-New York Mets:NYM-Chicago Cubs:CHC-Boston Red Sox:BOS-Texas Rangers:TEX-San Diego Padres:SDP,1971
alexani01,Nin,Alexander,Nin Alexander,1884-06-07,1884-09-03,C-OF-SS,Kansas City Cowboys:KCC-St. Louis Browns:STL,1858
alexape01,Pete,Alexander,Pete Alexander,1911-04-15,1930-05-28,P-OF,Philadelphia Phillies:PHI-Chicago Cubs:CHC-St. Louis Cardinals:STL,1887
alexasc01,Scott,Alexander,Scott Alexander,2015-09-02,2016-10-01,P,Kansas City Royals:KCR,1989
