Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,Age,IFFB,Balls,Strikes,Pitches,K/9,BB/9,K/BB,AVG,BABIP,FIP,GB/FB,LD%,GB%,FB%,HR/FB,WAR,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,K%,BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Jon Lester,Cubs,13,8,4.33,32,32,180.2,763,179,101,87,26,60,3,4,180,33,12,1186,1945,3131,8.97,2.99,3,0.256,0.31,4.1,1.42,21.40%,46.20%,32.40%,15.80%,2.7,0.07,31.70%,64.80%,45.00%,64.00%,84.20%,75.70%,57.90%,11.00%,23.60%,7.90%,38.50%,37.60%,23.90%,21.40%,50.50%,28.10%,4930
Chad Kuhl,Pirates,8,11,4.35,31,31,157.1,680,159,81,76,17,72,7,6,142,24,8,1034,1653,2687,8.12,4.12,1.97,0.264,0.321,4.24,1.2,23.30%,41.90%,34.80%,10.80%,1.9,-0.16,27.70%,64.20%,44.40%,63.40%,86.30%,78.50%,58.10%,9.50%,20.90%,10.60%,35.00%,38.50%,26.50%,17.20%,46.70%,36.10%,14975
Sean Manaea,Athletics,12,10,4.37,29,29,158.2,692,167,88,77,18,55,1,10,140,25,11,954,1734,2688,7.94,3.12,2.55,0.266,0.318,4.1,1.25,20.60%,44.10%,35.30%,10.60%,2.3,-0.83,31.90%,67.40%,47.50%,58.00%,87.10%,76.10%,60.00%,11.40%,20.20%,8.00%,37.70%,37.00%,25.30%,14.80%,51.90%,33.30%,15873
Erasmo Ramirez,- - -,5,6,4.39,37,19,131.1,539,123,70,64,22,31,2,2,109,27,7,685,1313,1998,7.47,2.12,3.52,0.243,0.269,4.43,1.13,18.60%,43.30%,38.20%,14.70%,1.1,0.68,31.60%,69.30%,48.90%,68.10%,85.20%,79.20%,61.60%,10.20%,20.20%,5.80%,42.30%,36.00%,21.70%,14.40%,47.40%,38.30%,10314
German Marquez,Rockies,11,7,4.39,29,29,162,701,174,82,79,25,49,3,8,147,22,13,913,1748,2661,8.17,2.72,3,0.27,0.316,4.4,1.36,21.70%,45.20%,33.10%,15.40%,2.4,0.92,27.40%,66.90%,48.40%,58.10%,89.40%,81.10%,59.80%,9.10%,21.00%,7.00%,37.50%,35.10%,27.40%,17.70%,47.80%,34.50%,15038
Jaime Garcia,- - -,5,10,4.41,27,27,157,673,157,86,77,18,64,5,1,129,30,9,913,1517,2430,7.39,3.67,2.02,0.258,0.302,4.25,2.06,18.60%,54.80%,26.60%,14.30%,2.1,-0.83,29.90%,66.40%,45.70%,57.10%,86.40%,75.50%,56.50%,11.20%,19.20%,9.50%,46.40%,32.20%,21.50%,20.70%,48.90%,30.50%,8137
Jeff Samardzija,Giants,9,15,4.42,32,32,207.2,847,204,107,102,30,32,1,6,205,32,19,1080,2193,3273,8.88,1.39,6.41,0.252,0.303,3.61,1.14,22.10%,41.50%,36.50%,13.80%,3.8,-0.05,32.80%,66.20%,48.70%,68.00%,85.70%,79.40%,65.10%,10.00%,24.20%,3.80%,37.90%,36.40%,25.70%,20.70%,49.20%,30.10%,3254
Jameson Taillon,Pirates,8,7,4.44,25,25,133.2,587,152,69,66,11,46,3,4,125,25,12,841,1481,2322,8.42,3.1,2.72,0.283,0.352,3.48,1.71,25.10%,47.30%,27.60%,9.90%,2.9,0.18,30.40%,64.50%,46.30%,67.70%,90.10%,82.20%,62.40%,8.20%,21.30%,7.80%,44.20%,31.60%,24.30%,22.10%,48.30%,29.60%,11674
Julio Teheran,Braves,11,13,4.49,32,32,188.1,812,186,103,94,31,72,3,7,151,26,21,1067,2007,3074,7.22,3.44,2.1,0.254,0.281,4.95,1,20.20%,40.00%,39.80%,13.70%,1.1,-0.44,30.60%,66.80%,46.60%,69.20%,86.00%,79.80%,63.80%,9.40%,18.60%,8.90%,41.60%,34.40%,24.10%,21.10%,48.50%,30.40%,6797
Johnny Cueto,Giants,8,8,4.52,25,25,147.1,648,160,77,74,22,53,2,8,136,31,16,920,1613,2533,8.31,3.24,2.57,0.273,0.322,4.49,1.1,24.80%,39.40%,35.80%,14.00%,1.2,-0.54,34.60%,69.30%,48.60%,66.50%,86.70%,78.20%,64.50%,10.60%,21.00%,8.20%,41.50%,34.60%,24.00%,16.60%,48.80%,34.60%,6893
Dinelson Lamet,Padres,7,8,4.57,21,21,114.1,485,88,63,58,18,54,2,6,139,24,10,734,1207,1941,10.94,4.25,2.57,0.207,0.261,4.35,0.86,19.80%,37.10%,43.10%,14.80%,1.3,-0.45,27.80%,63.90%,44.30%,55.80%,82.40%,73.40%,56.10%,11.80%,28.70%,11.10%,36.70%,36.40%,26.90%,16.80%,47.90%,35.30%,17186
John Lackey,Cubs,12,12,4.59,31,30,170.2,731,165,93,87,36,53,3,12,149,38,19,997,1775,2772,7.86,2.79,2.81,0.248,0.268,5.3,1.06,19.70%,41.20%,39.10%,18.20%,0.5,-1.42,31.60%,66.10%,47.10%,63.80%,86.30%,77.90%,65.40%,10.40%,20.40%,7.30%,42.00%,33.70%,24.40%,16.10%,48.70%,35.20%,1507
Miguel Gonzalez,- - -,8,13,4.62,27,27,156,684,167,88,80,22,55,2,6,100,33,20,882,1649,2531,5.77,3.17,1.82,0.268,0.289,4.88,0.82,19.60%,36.20%,44.20%,9.60%,1.4,-0.18,30.60%,65.80%,47.40%,76.90%,90.50%,85.90%,66.70%,6.70%,14.60%,8.00%,42.60%,31.90%,25.40%,16.40%,51.10%,32.50%,7024
Rick Porcello,Red Sox,11,17,4.65,33,33,203.1,885,236,125,105,38,48,1,6,181,28,27,1109,2274,3383,8.01,2.12,3.77,0.284,0.324,4.6,0.98,20.90%,39.20%,39.90%,14.70%,2,-0.97,30.50%,69.30%,49.40%,69.80%,86.20%,81.00%,67.20%,9.40%,20.50%,5.40%,41.70%,32.80%,25.50%,17.10%,44.60%,38.30%,2717
Tanner Roark,Nationals,13,11,4.67,32,30,181.1,776,178,105,94,23,64,5,6,166,30,10,1196,2020,3216,8.24,3.18,2.59,0.252,0.3,4.13,1.51,19.80%,48.20%,32.00%,13.50%,2.4,-1.51,29.80%,66.40%,45.70%,64.90%,85.40%,77.80%,58.80%,10.10%,21.40%,8.30%,42.00%,33.30%,24.60%,16.70%,55.60%,27.80%,8753
Luis Perdomo,Padres,8,11,4.67,29,29,163.2,716,182,97,85,17,65,3,8,118,24,8,961,1597,2558,6.49,3.57,1.82,0.283,0.325,4.4,2.94,17.20%,61.80%,21.00%,15.60%,1.6,-1.65,29.00%,64.10%,44.50%,61.90%,90.70%,80.20%,61.30%,8.80%,16.50%,9.10%,39.60%,41.50%,18.90%,18.10%,50.30%,31.60%,14682
Kevin Gausman,Orioles,11,12,4.68,34,34,186.2,816,208,99,97,29,71,0,5,179,26,19,1240,2117,3357,8.63,3.42,2.52,0.281,0.336,4.48,1.21,22.10%,42.70%,35.20%,14.80%,2.5,0.98,30.00%,66.70%,46.30%,62.80%,84.20%,76.40%,60.20%,10.90%,21.90%,8.70%,33.30%,37.60%,29.10%,18.20%,49.60%,32.30%,14107
Antonio Senzatela,Rockies,10,5,4.68,36,20,134.2,564,128,72,70,18,47,1,4,102,22,8,836,1381,2217,6.82,3.14,2.17,0.25,0.28,4.52,1.78,21.70%,50.10%,28.10%,15.80%,1.4,0.62,22.50%,63.10%,43.30%,67.10%,89.90%,84.10%,61.70%,6.90%,18.10%,8.30%,38.70%,35.30%,26.00%,18.50%,52.10%,29.40%,15488
Tyler Chatwood,Rockies,8,15,4.69,33,25,147.2,631,136,79,77,20,77,2,4,120,27,3,1026,1435,2461,7.31,4.69,1.56,0.247,0.283,4.94,2.68,20.20%,58.10%,21.70%,22.00%,1.1,-0.09,26.60%,67.30%,43.40%,58.30%,88.00%,77.20%,53.60%,9.90%,19.00%,12.20%,37.40%,39.10%,23.50%,22.10%,48.80%,29.10%,4338
Seth Lugo,Mets,7,5,4.71,19,18,101.1,436,114,57,53,13,25,1,2,85,27,11,572,1069,1641,7.55,2.22,3.4,0.279,0.325,3.95,1.25,23.80%,42.30%,33.90%,12.00%,1.7,-0.64,30.30%,66.20%,46.70%,71.40%,87.00%,81.50%,59.20%,8.70%,19.50%,5.70%,40.40%,38.00%,21.60%,19.10%,46.30%,34.60%,12447
Jerad Eickhoff,Phillies,4,8,4.71,24,24,128,576,142,74,67,16,53,4,5,118,26,12,804,1329,2133,8.3,3.73,2.23,0.274,0.328,4.3,0.94,22.30%,37.60%,40.20%,10.20%,1.9,-1.03,26.00%,65.20%,44.30%,64.10%,87.40%,80.10%,57.10%,8.80%,20.50%,9.20%,46.50%,33.50%,20.00%,15.30%,52.50%,32.30%,12664
Masahiro Tanaka,Yankees,13,12,4.74,30,30,178.1,752,180,100,94,35,41,1,7,194,28,20,937,1873,2810,9.79,2.07,4.73,0.256,0.305,4.34,1.51,18.20%,49.20%,32.60%,21.20%,2.7,0.21,37.80%,69.00%,50.90%,52.80%,83.60%,70.40%,64.60%,15.10%,25.80%,5.50%,45.80%,36.70%,17.50%,19.50%,49.10%,31.40%,15764
Scott Feldman,Reds,7,7,4.77,21,21,111.1,472,116,62,59,21,35,2,6,93,34,9,718,1191,1909,7.52,2.83,2.66,0.269,0.3,5.04,1.42,27.10%,42.80%,30.20%,21.40%,0.7,0.06,26.00%,63.20%,43.30%,67.60%,87.00%,80.80%,60.80%,8.30%,19.70%,7.40%,39.50%,33.20%,27.30%,20.50%,46.60%,32.90%,6283
Joe Musgrove,Astros,7,8,4.77,38,15,109.1,462,117,59,58,18,28,1,4,98,24,9,555,1205,1760,8.07,2.3,3.5,0.272,0.315,4.38,1.33,21.20%,44.90%,33.80%,16.40%,1.1,-0.49,33.00%,68.20%,50.50%,59.60%,85.40%,76.90%,63.90%,11.70%,21.20%,6.10%,43.50%,32.60%,23.90%,20.20%,49.60%,30.20%,12970
Ty Blach,Giants,8,12,4.78,34,24,163.2,692,179,91,87,17,43,2,1,73,26,13,910,1609,2519,4.01,2.36,1.7,0.276,0.29,4.42,1.47,21.50%,46.70%,31.80%,9.60%,1.2,-0.52,24.90%,66.60%,45.20%,76.70%,90.10%,86.30%,61.70%,6.20%,10.60%,6.20%,38.30%,33.40%,28.40%,18.40%,50.40%,31.10%,14361
Clayton Richard,Padres,8,15,4.79,32,32,197.1,858,240,114,105,24,59,6,8,151,33,7,1053,1992,3045,6.89,2.69,2.56,0.303,0.351,4.23,3,21.00%,59.20%,19.70%,19.40%,2.3,-1.51,31.60%,67.70%,47.40%,69.10%,89.60%,81.90%,62.50%,8.60%,17.60%,6.90%,40.30%,35.80%,23.90%,17.30%,47.70%,35.00%,3551
Mike Foltynewicz,Braves,10,13,4.79,29,28,154,692,169,86,82,20,59,2,10,143,25,13,1040,1730,2770,8.36,3.45,2.42,0.271,0.324,4.33,1.09,24.40%,39.40%,36.20%,11.80%,1.8,-0.18,27.90%,67.20%,44.60%,69.40%,84.30%,78.90%,62.30%,9.40%,20.70%,8.50%,34.80%,41.50%,23.80%,15.80%,56.00%,28.10%,10811
